Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,Daily_Return,Year,MACD,MACD_signal,MACD_hist
MSFT,MSFT,MSFT,MSFT,MSFT,,,,,,,,
151.75010681152344,154.69281663620373,134.45691391450814,140.92514321386426,92727400,160.03005828857422,160.9609228515625,44.87680791386303,0.14216873087718285,2020,0.0,0.0,0.0
129.38360595703125,142.6926790773562,128.98232934849295,133.75945265769641,87905900,157.66895904541016,160.4877490234375,38.19509854962265,-0.14739034669854834,2020,-1.7842222903868787,-0.35684445807737575,-1.427377832309503
140.0365753173828,140.92511310054996,128.9823069055881,133.75942938357286,81059800,155.7509452819824,160.26574768066405,41.99130055782525,0.08233631518887674,2020,-2.3119747080649233,-0.7478705080748853,-1.564104199990038
134.1416015625,139.49198489684125,129.00142737496958,131.8485884641376,81593200,153.51142959594728,159.91803405761718,43.71818233421917,-0.04209595772763142,2020,-3.169362973494856,-1.2321690011588795,-1.9371939723359763
136.34866333007812,143.45701074664507,132.80403133103658,136.4059864786484,85922700,151.51889114379884,159.64209259033203,43.107144348283185,0.016453223622425517,2020,-3.62892591254635,-1.7115203834363737,-1.9174055291099765
131.22755432128906,140.54294272883146,129.8039666394229,139.4919700001222,84866200,149.5488052368164,159.21589782714844,36.833123781031595,-0.03755892345194234,2020,-4.3561485815921515,-2.2404460230675296,-2.115702558524622
129.9186248779297,134.3040345966447,126.61286413328438,130.90271098792135,78975200,147.88111038208007,158.7254116821289,38.826666753398065,-0.009974501545267467,2020,-4.980683237077301,-2.788493465869484,-2.1921897712078167
141.72769165039062,142.93153606152444,134.97284683336954,137.34229592629205,82516700,146.9385841369629,158.4853985595703,41.712069269253895,0.09089587257836684,2020,-4.471197276055079,-3.1250342279066032,-1.346163048148476
140.37100219726562,147.45070307732973,138.00155290473782,142.2723026936915,75638200,145.82790298461913,158.18128143310548,42.62182553543704,-0.009572507936357555,2020,-4.129299487742145,-3.3258872798737116,-0.8034122078684334
149.1513671875,149.67685374701728,141.75637393382866,141.78503551174546,64568100,145.72901611328126,158.07468688964843,47.987026567697654,0.0625511313076983,2020,-3.1139453297262207,-3.2834988898442132,0.1695535601179925
143.027099609375,147.98575699943868,142.54938717609144,144.98572350156294,57042300,145.14095306396484,157.82559783935548,49.649084994132835,-0.041060753874459066,2020,-2.7714989405929487,-3.1810988999939607,0.409599959401012
153.08767700195312,153.4411940114723,143.32323658784367,145.6449259076902,63420300,144.54094696044922,157.7207421875,49.737245678908586,0.07034035801645167,2020,-1.6690632717433402,-2.878691774343837,1.2096285026004967
150.6800537109375,157.43489955967067,149.58130642853416,152.29470939927032,77927200,144.21610412597656,157.55001098632812,51.6121451477756,-0.015727087497610315,2020,-0.9783720755263232,-2.4986278345803346,1.5202557590540113
145.32968139648438,150.71827722243293,144.09718969623435,146.18000897009344,57969900,143.3352035522461,157.28370666503906,55.5498940516944,-0.03550816569734705,2020,-0.8528930371869876,-2.1694808751016654,1.3165878379146778
148.33921813964844,148.54941271792683,143.65764343135137,145.09078033127363,49630700,142.8092399597168,157.09283874511718,48.23178477918667,0.020708341986614087,2020,-0.5047866653902418,-1.836542033159381,1.3317553677691392
146.97299194335938,150.36475274238688,145.40609592689418,148.18638546531636,41243300,142.4394905090332,156.8552081298828,61.65635523945351,-0.009210148290001663,2020,-0.3352879035396086,-1.5362912072354264,1.2010033036958179
157.90301513671875,159.07818321902553,150.5557982158252,153.17366665944496,67111700,143.13933868408202,156.86819366455077,61.796639137363684,0.07436756269867328,2020,0.6732418985604909,-1.0943845860762431,1.767626484636734
156.202392578125,162.42220225132698,155.98263439611668,162.0304746176157,62769000,143.26211013793946,156.8997604370117,65.42012375553333,-0.010770044872932205,2020,1.32006610466496,-0.6114944479280024,1.9315605525929624
157.76927185058594,159.24061934785263,156.21192505793775,158.2851947297613,48318200,143.81147842407228,156.90206665039062,65.10785521385398,0.010031083689561626,2020,1.9367869362574766,-0.10183817109090665,2.038625107348383
157.7788543701172,159.90944763911187,156.0495377765413,158.9444738181257,51385100,145.05735244750977,156.85539947509767,70.18166053043743,6.0737553129630584e-05,2020,2.398665544490484,0.3982625720253715,2.0004029724651127
158.13230895996094,158.1896466778928,155.06540437787973,157.0240275831753,41905300,145.37646255493163,156.7254733276367,71.76132605528211,0.002240189861022923,2020,2.761396836803158,0.8708894249809288,1.8905074118222291
165.95726013183594,166.00503428044706,160.5113424985042,161.4667671562334,52874300,147.20514526367188,156.80063995361328,69.91214828528771,0.04948356995063086,2020,3.6383317395132906,1.4243778878874012,2.2139538516258894
164.2184295654297,165.83309991105074,161.69610851873585,163.5687330798885,40940800,148.41423797607422,156.76194519042969,69.47577355906081,-0.010477580583247326,2020,4.145216398851943,1.9685455900803095,2.1766708087716333
169.1483917236328,169.37769891247757,165.19293383246543,166.5305372327894,50479600,150.16457748413086,156.71246612548828,67.42723586306457,0.03002076058849945,2020,4.888382655696404,2.5525130032035284,2.3358696524928755
170.6388397216797,171.9764283328193,168.03052006202375,171.49871603189482,52765600,151.87908630371095,156.6969888305664,76.17767971555784,0.008811481935235177,2020,5.533823493174339,3.1487751011976908,2.385048391976648
167.2566680908203,170.78218803943125,167.1897959337323,168.75669206882318,36669600,153.6805419921875,156.5427865600586,65.38078660108732,-0.01982064362589353,2020,5.7066443782731255,3.6603489566127783,2.0462954216603473
160.33937072753906,165.92859614684912,158.7055881719727,165.76617570683052,56203700,155.20157928466796,156.24528411865234,59.550374315931634,-0.0413573787056738,2020,5.225205175188222,3.9733202003278674,1.2518849748603547
